제목,평점,예매율,개봉일
야당,99%,36.2%,2025.04.16
파과,99%,9.6%,2025.04.30
거룩한 밤: 데몬 헌터스,99%,7.4%,2025.04.30
A MINECRAFT MOVIE 마인크래프트 무비,99%,6.4%,2025.04.26
사유리,97%,5.3%,2025.04.16
승부,97%,4.3%,2025.03.26
해피엔드,99%,3.5%,2025.04.30
플로우,96%,3.3%,2025.03.19
베러맨,85%,2.2%,2025.04.09
2025 스타레일 감상회 in CGV 앵콜 상영,96%,2.1%,2025.05.08
2025 ZEROBASEONE FAN-CON [BLUE MANSION] - 생중계,?,2.0%,2025.04.19
드라이브 인 타이페이,78%,1.7%,2025.04.11
2025 스타레일 감상회 in CGV 생방송 특별 상영,99%,1.7%,2025.05.03
아마추어,89%,1.6%,2025.04.09
은혼 더 파이널,83%,1.4%,2025.04.18
브리짓 존스의 일기: 뉴 챕터,99%,1.2%,2025.04.16
마리아,99%,1.2%,2025.04.16
백설공주와 일곱난쟁이,84%,1.1%,2025.04.10
스윙걸즈,97%,0.6%,2025.03.26
